table,slot,entry_kind,target
upd9002_ope0x0f_table,0x18,handler,_test1_ea8_i3
upd9002_ope0x0f_table,0x19,handler,_test1_ea16_i4
upd9002_ope0x0f_table,0x1a,handler,_clr1_ea8_i3
upd9002_ope0x0f_table,0x1b,handler,_clr1_ea16_i4
upd9002_ope0x0f_table,0x1c,handler,_set1_ea8_i3
upd9002_ope0x0f_table,0x1d,handler,_set1_ea16_i4
upd9002_ope0x0f_table,0x1e,handler,_not1_ea8_i3
upd9002_ope0x0f_table,0x1f,handler,_not1_ea16_i4
upd9002_ope0x0f_table,0x20,handler,_add4s
upd9002_ope0x0f_table,0x21,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x22,handler,_sub4s
upd9002_ope0x0f_table,0x23,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x24,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x25,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x26,handler,_cmp4s
upd9002_ope0x0f_table,0x27,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x28,handler,_rol4_ea8
upd9002_ope0x0f_table,0x29,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x2a,handler,_ror4_ea8
upd9002_ope0x0f_table,0x2b,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x2c,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x2d,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x2e,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x2f,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x30,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x31,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x32,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x33,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x34,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x35,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x36,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x37,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x38,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x39,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x3a,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x3b,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x3c,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x3d,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x3e,handler,_reserved_0x0f
upd9002_ope0x0f_table,0x3f,handler,_reserved_0x0f
upd9002op,0x00,handler,_add_ea_r8
upd9002op,0x01,handler,_add_ea_r16
upd9002op,0x02,handler,_add_r8_ea
upd9002op,0x03,handler,_add_r16_ea
upd9002op,0x04,handler,_add_al_data8
upd9002op,0x05,handler,_add_ax_data16
upd9002op,0x06,handler,_push_es
upd9002op,0x07,handler,_pop_es
upd9002op,0x08,handler,_or_ea_r8
upd9002op,0x09,handler,_or_ea_r16
upd9002op,0x0a,handler,_or_r8_ea
upd9002op,0x0b,handler,_or_r16_ea
upd9002op,0x0c,handler,_or_al_data8
upd9002op,0x0d,handler,_or_ax_data16
upd9002op,0x0e,handler,_push_cs
upd9002op,0x0f,handler,_ope0x0f
upd9002op,0x10,handler,_adc_ea_r8
upd9002op,0x11,handler,_adc_ea_r16
upd9002op,0x12,handler,_adc_r8_ea
upd9002op,0x13,handler,_adc_r16_ea
upd9002op,0x14,handler,_adc_al_data8
upd9002op,0x15,handler,_adc_ax_data16
upd9002op,0x16,handler,_push_ss
upd9002op,0x17,handler,_pop_ss
upd9002op,0x18,handler,_sbb_ea_r8
upd9002op,0x19,handler,_sbb_ea_r16
upd9002op,0x1a,handler,_sbb_r8_ea
upd9002op,0x1b,handler,_sbb_r16_ea
upd9002op,0x1c,handler,_sbb_al_data8
upd9002op,0x1d,handler,_sbb_ax_data16
upd9002op,0x1e,handler,_push_ds
upd9002op,0x1f,handler,_pop_ds
upd9002op,0x20,handler,_and_ea_r8
upd9002op,0x21,handler,_and_ea_r16
